"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code"
"de:02000:80992::809196","","Wiesingerweg",,"53.583506130878","9.960882076707",0,,0,""
"de:02000:80992::809197","","Wiesingerweg",,"53.583794701661","9.961870123604",0,,0,""
"de:02000:80994::809198","","Grandweg (Süd)",,"53.585861648151","9.967398641913",0,,0,""
"de:02000:80994::809199","","Grandweg (Süd)",,"53.585912739936","9.967747126043",0,,0,""
"de:02000:81141::811411","","Pieperweg",,"53.580275063113","9.823109380204",0,,0,""
"de:02000:81141::811412","","Pieperweg",,"53.580104678381","9.823060772153",0,,0,""
"de:01061:99190::1","","Süderau, Süderauer Riep 3",,"53.811549371700","9.528609597648",0,,0,""
"000349902504","","Looft, Schulstraße",,"54.028309679167","9.524811637071",0,,0,""
"de:02000:80005::191003","","Teufelsbrück (Fähre)",,"53.547822418142","9.864798089228",0,,0,""
"de:01053:94241::942414","","Salem, Rehwinkel",,"53.656124229350","10.820677145078",0,,0,""
"de:01053:94241::942415","","Salem, Rehwinkel",,"53.656202971449","10.820226716477",0,,0,""
"de:01053:94242::942421","","Salem, Gemeindehaus",,"53.655817624734","10.828409119374",0,,0,""
"de:01053:94242::942422","","Salem, Gemeindehaus",,"53.656132884713","10.827772289961",0,,0,""
"de:02000:84039:2:840393","","Ruhrstraße",,"53.567669090612","9.923889205098",0,,0,""
"de:01061:9000501::1","","Hohenlockstedt, Hohenfiert 22",,"54.007401274280","9.636623527548",0,,0,""
"de:01061:9000502::1","","Hohenlockstedt, Hohenfiert 32",,"54.012531322785","9.636640899732",0,,0,""
"de:01061:9000503::1","","Hohenlockstedt, Ridders 15",,"53.999510757487","9.605774975085",0,,0,""
"de:01061:9000504::1","","Hohenlockstedt, Ridders 58",,"54.002564047448","9.600695107104",0,,0,""
"de:01061:9000505::1","","Hohenlockstedt, Ridders Feuerwehr",,"54.002257432847","9.604503345020",0,,0,""
"de:01061:9000508::1","","Schlotfeld, Mühlenweg",,"53.944513834097","9.595534643951",0,,0,""
"de:01061:9000509::1","","Sarlhusen, Kirschenallee",,"54.022356849213","9.791401309285",0,,0,""
"de:01061:9000509::2","","Sarlhusen, Kirschenallee",,"54.022429018199","9.791356905889",0,,0,""
"de:01061:9000511::1","","Sarlhusen, Reuthenberg 16",,"54.017825910576","9.799950423433",0,,0,""
"de:01061:9000511::2","","Sarlhusen, Reuthenberg 16",,"54.018699638554","9.799616293543",0,,0,""
"de:01061:9000512::1","","Fitzbek, Schulstraße",,"54.002876950807","9.766675518461",0,,0,""
"de:03353:47810::4781007","","Dierstorf, Am Schulberg",,"53.348781118984","9.754278825657",0,,0,""
"de:03353:47810::4781009","","Dierstorf, Am Schulberg",,"53.347511779056","9.756073347653",0,,0,""
"de:01060:59239::590105","","Glashütte, Markt (Ersatz)",,"53.685593014932","10.034604737118",0,,0,""
"de:01060:92025::590107","","Glashütte, Hans-Salb-Straße",,"53.685661445871","10.031881849393",0,,0,""
"720000753912","","Trappenkamp, Danziger Straße",,"54.041017440258","10.207383964917",0,,0,""
"720000753932","","Trappenkamp, Kirche",,"54.040579706097","10.215156650505",0,,0,""
"de:02000:25040::260026","","Lohbrügger Markt",,"53.494779624310","10.207865147586",0,,0,""
"de:02000:25040::260029","","Lohbrügger Markt",,"53.495498880551","10.207825325312",0,,0,""
"000000694291","","Südbahnhof, Neumünster",,"54.060024512237","9.981995741746",0,,0,""
"000000699230","","ZOB/Bahnhof, Neumünster",,"54.074944729192","9.980193943751",0,,0,""
"000000701204","","Altengörs Bahnhofstraße, Neuengörs",,"53.898335905018","10.357043663277",0,,0,""
"000000701275","","Bahnhof, Fahrenkrug",,"53.944844102739","10.251101684773",0,,0,""
"000000701461","","Bahnhof/Klinik, Rickling",,"53.999072550520","10.168653545520",0,,0,""
