"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"11749_3",61,"8897","Geesthacht, Am Moor > Geesthachter Schulen",3,"","",""
"11748_3",61,"296","Ulzburg, Rostocker Straße > %AB Henstedt-Ulzburg > Henstedt, Kirche (> Kisdorf)",3,"","",""
"11747_702",61,"X95","Bf. Pinneberg > %AB Schnelsen > %UB Niendorf Nord > %SB Hamburg Airport",702,"","",""
"11746_702",61,"X82","Bf. Bergedorf > Geesthacht, ZOB > Geesthacht, Oberstadt",702,"","",""
"11683_3",61,"8525","Bf. Schwarzenbek > Lupus-Park > Bf. Schwarzenbek",3,"","",""
"11682_3",61,"8524","Bf. Schwarzenbek > Mühlenkamp > Bf. Schwarzenbek",3,"","",""
"11681_3",61,"8523","Bf. Schwarzenbek > Blinde Koppel > Bf. Schwarzenbek",3,"","",""
"11680_3",61,"8522","Bf. Schwarzenbek > Lupus-Park > Mühlenkamp > Blinde Koppel > Bf. Schwarzenbek",3,"","",""
"11679_3",61,"8521","Bf. Schwarzenbek >Blinde Koppel > Mühlenkamp > Lupus-Park > Bf. Schwarzenbek",3,"","",""
"11678_3",61,"8109","Bf. Bargteheide > Struhbarg > Bf. Bargteheide",3,"","",""
"11677_3",61,"8108","Bf. Bargteheide > Michael-Ende-Weg > Bf. Bargteheide",3,"","",""
"11676_3",61,"8107","Bf. Bargteheide > Hufeisenring > Bf. Bargteheide",3,"","",""
"11653_3",61,"912","%SB Allermöhe > Curt-Bär-Weg > %SB Allermöhe",3,"","",""
"11192_3",61,"469","Ahrensburg, Auestieg > Bf. Ahrensburg > %UB Ahrensburg West > Wulfsdorf",3,"","",""
"11191_702",61,"X80","%UB Rödingsmarkt > Billstedt > Bf. Bergedorf > Geesthacht > Lauenburg, ZOB",702,"","",""
"10236_3",61,"215","%SB Othmarschen > Bf. Altona",3,"","",""
"9739_3",34,"6675","Haseldorf  >  Altendeich  >  Heist  >  Moorrege  >  Uetersen",3,"","",""
"9738_3",34,"6673","Moorrege  >  Appen  >  Appen-Etz  >  Pinneberg",3,"","",""
"9737_3",34,"6671","Uetersen > Groß Nordende > Neuendeich > Uetersen",3,"","",""
"9736_702",34,"X66","Uetersen, Buttermarkt > Uetersen, Tantaus Allee > Bf. Tornesch",702,"","",""
"9686_3",61,"8896","Geesthacht > Grünhof > Lauenburg, Gemeinschaftsschule",3,"","",""
"9685_3",61,"669","%UB Ahrensburg West > Bf. Ahrensburg > Gartenholz > Bf. Ahrensburg > %UB Ahrensburg West",3,"","",""
"9684_3",61,"668","%UB Volksdorf > Ahrensburg, Dänenweg > Bf. Ahrensburg",3,"","",""
"9683_3",61,"134","%UB Mümmelmannsberg > Lohbrügge > %SB Nettelnburg (Südeingang)  > Neuallermöhe",3,"","",""
"9682_3",61,"127","Bf. Bergedorf > Curslack > Neuengamme > Fünfhausen > Ochsenwerder",3,"","",""
"9681_3",61,"119","%UB%SB Elbbrücken > %SB Tiefstack > Billbrook > %UB Billstedt",3,"","",""
"9538_3",61,"430","%UB Billstedt > %SB Billwerder Moorfleet > %SB Mittlerer Landweg",3,"","",""
"9160_3",61,"869","Bf. Ahrensburg > Siek",3,"","",""
"9159_3",61,"610","%SB Holstenstraße > Rathausmarkt > %UB Mümmelmannsberg > Bf. Bergedorf",3,"","",""
"9156_3",61,"530","%UB Lübecker Straße > Hamm > Rothenburgsort > Moorfleet > Schule Mittlerer Landweg",3,"","",""
"9154_3",61,"394","%UB%AB Norderstedt Mitte > Friedrichsgabe, Tycho-Brahe-Kehre",3,"","",""
"9153_3",61,"384","Schnelsen, Kalvslohtwiete > Eidelstedter Platz > %SB Elbgaustraße > Schenefeld",3,"","",""
"9152_3",61,"335","%SB Allermöhe > Nettelnburg  > Bf. Bergedorf > Wentorf",3,"","",""
"9151_3",61,"29","Bf. Tonndorf / Gewerbepark Merkur > Bf. Rahlstedt > %UB Billstedt > Bf. Bergedorf",3,"","",""
"9150_3",61,"224","Hauptbahnhof / ZOB > %SB Tiefstack > Fünfhausen > Kirchwerder > Bf. Bergedorf",3,"","",""
"9149_3",61,"122","Hauptbahnhof / ZOB > Fünfhausen > Bf. Bergedorf > Energie-Campus Bergedorf",3,"","",""
"9148_702",61,"X32","%UB%SB Wandsbeker Chausse > %UB Wandsbek Markt > %UB Horner Rennbahn > Bf. Bergedorf",702,"","",""
"9147_702",61,"X30","%SB Harburg Rathaus > Bf. Harburg > %SB Nettelnburg > Bf. Bergedorf",702,"","",""
"9146_702",61,"X3","Schenefelder Platz > Bahrenfeld > %SB Holstenstraße > %UB Feldstraße > %UB Messberg",702,"","",""
"8864_3",61,"588","Elbuferweg  >  %SB Blankenese",3,"","",""
"8863_3",61,"488","Ring:  %SB Blankenese  >  Strandweg  >  Waseberg  >  %SB Blankenese",3,"","",""
"8862_3",61,"388","Rissen, Falkensteiner Ufer / %SB Blankenese > Rissen > %SB Rissen",3,"","",""
"8775_3",34,"6500","Raa-Besenbek, Achtern Knick - Bf. Elmshorn - Kölln-Reisiek",3,"","",""
"8773_3",34,"6668","Esingen > Bf. Tornesch > Gewerbegebiet Oha > Ellerhoop",3,"","",""
"8772_3",34,"6667","Uetersen, Buttermarkt  >  Heidgraben  >  Bf. Tornesch",3,"","",""
"8770_3",34,"6663","Uetersen  >  Moorrege  >  Appen  >  Bf. Pinneberg",3,"","",""
"8769_3",34,"6661","Uetersen, Buttermarkt  > Uetersen, Am Eichholz  >  Bf. Tornesch",3,"","",""
"8767_3",34,"6544","Barmstedt  >  Hörnerkirchen  >  Osterhorn",3,"","",""
"8766_3",34,"6543","Barmstedt  >  Bevern  >  Ellerhoop  >  Barmstedt",3,"","",""
"8765_3",34,"6542","Barmstedt  >  Lutzhorn  >  Bokel  >  Hörnerkirchen",3,"","",""
"8764_3",34,"6507","Raa-Besenbek  >  Elmshorn",3,"","",""
"8763_3",34,"6506","Bf. Elmshorn (ZOB)  >  Kurzenmoor  >  Seester  >  Seestermühe",3,"","",""
"8762_3",34,"6505","Kölln-Reisiek  >  Bevern >  Seeth-Ekholt  >  Elmshorn",3,"","",""
"8761_3",34,"6504","Klein Nordende, Bauerweg / Waldorfschule  >  Bf. Elmshorn  >  Zeppelinplatz",3,"","",""
"8760_3",34,"6503","Klein Nordende - Bf. Elmshorn - Zeppelinplatz - Hasenbusch",3,"","",""
"8759_3",34,"6502","Waldorfschule - Hainholz - Bf. Elmshorn - Klinikum - Kibek",3,"","",""
"8758_3",34,"6501","Heidkoppelweg/Zeppelinplatz - Bf. Elmshorn - Hebbelplatz - Kibek",3,"","",""
"8757_3",34,"589","Uetersen  >  Heist  >  Haseldorf  >  Holm  >  %SB Wedel  > Wedel, Ernst-Barlach-Schule",3,"","",""
"8756_3",34,"489","Bf. Elmshorn  >  Uetersen  >  Heist  >  Holm  >  %SB Wedel",3,"","",""
"8632_3",61,"735","Aumühle  >  Wohltorf  >  Wentorf  >  Reinbeker Schulen",3,"","",""
"8631_3",61,"184","Schenefeld > %SB Elbgaustraße > Eidelstedter Platz > %SB Halstenbek",3,"","",""
"8369_3",61,"8884","Glinde > Neuschönningstedt > Witzhave > Grande > Trittau",3,"","",""
"8368_3",61,"774","Hoisbüttel / Bünningstedt  >  Timmerhorn  >  Ahrensburger Schulen",3,"","",""
"8367_3",61,"536","%SB Reinbek > Reinbek, Borsigstraße > Reinbek, Senefelder Ring > Glinde, Markt",3,"","",""
"8366_3",61,"533","Kuddewörde > Kasseburg > Möhnsen",3,"","",""
"8365_3",61,"376","Bf. Ahrensburg  >  Großhansdorf  >  Siek  >  Meilsdorf",3,"","",""
"8364_3",61,"333","%UB Steinfurther Allee > Glinde > Neuschönningstedt > Trittau / Sachsenwaldau",3,"","",""
