"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
"de:01004:66069::1","de:01004:66069::2",2,60,,,,
"de:01004:66131::1","de:01004:66131::2",2,60,,,,
"de:01004:66131::2","de:01004:66131::1",2,60,,,,
"de:01004:66170::1","de:01004:66170::2",2,60,,,,
"de:01004:66170::1","720000350151",2,180,,,,
"de:01004:66170::1","720000350152",2,180,,,,
"de:01004:66170::2","de:01004:66170::1",2,60,,,,
"de:01004:66170::2","720000350151",2,180,,,,
"de:01004:66170::2","720000350152",2,180,,,,
"de:01004:66211::1","de:01004:66211::2",2,60,,,,
"de:01004:66211::1","720000350171",2,180,,,,
"de:01004:66211::1","720000350172",2,180,,,,
"de:01004:66211::2","de:01004:66211::1",2,60,,,,
"de:01004:66211::2","720000350171",2,180,,,,
"de:01004:66211::2","720000350172",2,180,,,,
"de:01004:66244::1","000008000271",2,180,,,,
"de:01004:66244::1","de:01004:66244::1",2,60,,,,
"de:01004:66244::1","720000350191",2,180,,,,
"de:01004:66244::1","720000350192",2,180,,,,
"de:01004:66244::1","000008000271_G",2,180,,,,
"de:01004:66253::2","de:01004:66253::1",2,60,,,,
"de:01004:66253::1","de:01004:66253::2",2,60,,,,
"de:01004:66252::1","de:01004:66252::2",2,60,,,,
"de:01004:66252::2","de:01004:66252::1",2,60,,,,
"de:01055:88077::1","de:01055:88077::2",2,60,,,,
"de:01055:88077::2","de:01055:88077::1",2,60,,,,
"de:01055:88077::2","de:01055:88077::2",2,60,,,,
"de:01055:88078::1","de:01055:88078::2",2,60,,,,
"de:01055:88078::2","de:01055:88078::1",2,60,,,,
"de:01055:88078::2","de:01055:88078::2",2,60,,,,
"de:01055:88062::1","de:01055:88062::2",2,60,,,,
"de:01055:88062::2","de:01055:88062::1",2,60,,,,
"de:01055:88062::2","de:01055:88062::2",2,60,,,,
"de:01055:88064::1","de:01055:88064::2",2,60,,,,
"de:01055:88064::2","de:01055:88064::1",2,60,,,,
"de:01055:88064::2","de:01055:88064::2",2,60,,,,
"de:01003:57676::1","de:01003:57676::2",2,60,,,,
"de:01003:57676::2","de:01003:57676::1",2,60,,,,
"de:01003:57676::2","de:01003:57676::2",2,60,,,,
"de:01003:57835::1","de:01003:57835::2",2,60,,,,
"de:01003:57835::2","de:01003:57835::1",2,60,,,,
"de:01003:57748::1","de:01003:57748::1",2,60,,,,
"de:01003:57767::1","de:01003:57767::2",2,60,,,,
"de:01003:57767::2","de:01003:57767::1",2,60,,,,
"de:01003:57770::1","de:01003:57770::1",2,60,,,,
"de:01003:57770::1","de:01003:57770::2",2,60,,,,
"de:01003:57770::2","de:01003:57770::1",2,60,,,,
"de:01003:57770::2","de:01003:57770::2",2,60,,,,
"de:01003:57856::2","de:01003:57856::2",2,60,,,,
"de:01003:57982::1","de:01003:57982::1",2,60,,,,
"de:01003:57899::2","de:01003:57899::2",2,60,,,,
"de:01003:58052::1","de:01003:58052::2",2,60,,,,
"de:01003:58052::2","de:01003:58052::1",2,60,,,,
"de:01003:57911::2","de:01003:57911::1",2,60,,,,
"de:01003:57911::1","de:01003:57911::2",2,60,,,,
"de:01003:57967::2","de:01003:57967::1",2,60,,,,
"de:01003:57967::1","de:01003:57967::2",2,60,,,,
"de:01003:57967::1","de:01003:57967::1",2,60,,,,
"de:01003:58009::2","de:01003:58009::2",2,60,,,,
"de:01003:58009::2","de:01003:58009::1",2,60,,,,
"de:01003:58009::1","de:01003:58009::2",2,60,,,,
"de:01003:58009::1","de:01003:58009::1",2,60,,,,
"de:01003:58022::2","de:01003:58022::1",2,60,,,,
"de:01003:58022::1","de:01003:58022::2",2,60,,,,
"de:01003:58068::1","de:01003:58068::2",2,60,,,,
"de:01003:58068::2","de:01003:58068::1",2,60,,,,
"de:01003:58068::2","de:01003:58068::2",2,60,,,,
"de:01003:57737::1","de:01003:57737::2",2,60,,,,
"de:01003:57737::2","de:01003:57737::1",2,60,,,,
"de:01003:57737::2","de:01003:57737::2",2,60,,,,
"de:01003:58085::2","000008000237",2,300,,,,
"de:01003:58085::2","de:01003:58085::14",2,60,,,,
"de:01003:58085::2","de:01003:58085::16",2,60,,,,
"de:01003:58085::2","de:01003:58085::18",2,60,,,,
"de:01003:58085::2","de:01003:58085::15",2,60,,,,
"de:01003:57722::1","de:01003:57722::2",2,60,,,,
"de:01003:57722::2","de:01003:57722::1",2,60,,,,
"de:01003:58026::1","de:01003:58026::2",2,60,,,,
"de:01003:58026::2","de:01003:58026::1",2,60,,,,
"de:01003:57867::1","de:01003:57867::1",2,60,,,,
"de:01055:12386::1","de:01055:12386::2",2,60,,,,
"de:01055:12386::2","de:01055:12386::1",2,60,,,,
"de:01055:12356::1","de:01055:12356::2",2,60,,,,
"de:01055:12356::2","de:01055:12356::1",2,60,,,,
"de:01055:12379::1","de:01055:12379::1",2,60,,,,
"de:01055:12380::2","de:01055:12380::1",2,60,,,,
"de:01055:12380::1","de:01055:12380::2",2,60,,,,
"de:03351:50","de:03351:50",2,360,,,,
"de:03152:33817","de:03152:33817",2,420,,,,
"de:03155:51354","de:03155:51354",2,300,,,,
"de:03155:68704","de:03155:68704",2,300,,,,
"de:03254:22801","de:03254:22801",2,300,,,,
"de:03254:21616","de:03254:21616",2,300,,,,
"de:13074:7474","de:13074:7474",2,300,,,,
"000000520037","000000520037",2,120,,,,
"000000520038","000000520038",2,120,,,,
"de:15081:8010310","de:15081:8010310",2,300,,,,
"de:15090:8010334","de:15090:8010334",2,300,,,,
"de:04011:14323","de:04011:14323",2,300,,,,
"de:01002:49320","de:01002:49320",2,300,,,,
"de:03361:72578","de:03361:72578",2,300,,,,
"de:03361:79996","de:03361:79996",2,300,,,,
"000008005613","000008005613",2,300,,,,
"000008003781","000008003781",2,300,,,,
"000000510028","000000510028",2,120,,,,
"000000510033","000000510033",2,120,,,,
"de:01003:57882::1","de:01003:57882::1",2,60,,,,
"de:01003:57880::1","de:01003:57880::2",2,60,,,,
"de:01003:57880::2","de:01003:57880::1",2,60,,,,
"000008071199","000008071199",2,300,,,,
"de:01003:57731::5","de:01003:57731::5",2,60,,,,
"de:01003:57706::1","de:01003:57706::1",2,60,,,,
"de:01003:57706::1","de:01003:57706::3",2,60,,,,
"de:01003:57706::3","de:01003:57706::1",2,60,,,,
"de:03254:9926","de:03254:9926",2,240,,,,
"de:03254:21636","de:03254:21636",2,300,,,,
"de:03351:2656","de:03351:2656",2,300,,,,
"de:03254:21535","de:03254:21535",2,300,,,,
"de:03241:6491","de:03241:6491",2,300,,,,
"de:03241:6555","de:03241:6555",2,300,,,,
"de:03155:68990","de:03155:68990",2,300,,,,
"de:03155:23280","de:03155:23280",2,300,,,,
"de:03254:9834","de:03254:9834",2,300,,,,
"000008005780","000008005780",2,300,,,,
"de:03351:2797","de:03351:2797",2,300,,,,
"de:03352:72552::1","de:03352:72552::2",2,120,,,,
"de:03352:72552::2","de:03352:72552::1",2,120,,,,
"de:03352:72556::1","de:03352:72556::2",2,120,,,,
"de:03352:72556::2","de:03352:72556::1",2,120,,,,
"de:03352:72558::1","de:03352:72558::2",2,120,,,,
"de:03352:8137::1","de:03352:8137::2",2,120,,,,
"de:03352:65782::1","de:03352:65782::1",2,120,,,,
"de:03352:17358::1","de:03352:17358::2",2,120,,,,
"de:03352:17358::2","de:03352:17358::1",2,120,,,,
"de:03352:17359::1","de:03352:17359::2",2,120,,,,
"de:03352:100205::2","de:03352:100205::1",2,120,,,,
"de:03352:100229::2","de:03352:100229::3",2,120,,,,
"de:03352:100229::3","de:03352:100229::2",2,120,,,,
"de:03352:2512::1","de:03352:2512::2",2,120,,,,
"de:03352:2512::2","de:03352:2512::1",2,120,,,,
"de:03352:2510::1","de:03352:2510::1",2,120,,,,
"de:03352:2510::1","de:03352:2510::2",2,120,,,,
"de:03352:2510::2","de:03352:2510::1",2,120,,,,
"de:03352:2510::2","de:03352:2510::2",2,120,,,,
"de:03352:96289::1","de:03352:96289::1",2,120,,,,
"de:03352:96289::1","de:03352:96289::2",2,120,,,,
"de:03352:96289::2","de:03352:96289::1",2,120,,,,
"de:03352:96289::2","de:03352:96289::2",2,120,,,,
"de:03352:96290::1","de:03352:96290::1",2,120,,,,
"de:03352:96290::1","de:03352:96290::2",2,120,,,,
"de:03352:96290::2","de:03352:96290::1",2,120,,,,
"de:03352:96290::2","de:03352:96290::2",2,120,,,,
"de:03352:96295::1","de:03352:96295::1",2,120,,,,
"de:03352:96295::1","de:03352:96295::2",2,120,,,,
"de:03352:96295::2","de:03352:96295::1",2,120,,,,
"de:03352:96295::2","de:03352:96295::2",2,120,,,,
"de:03352:7404::1","de:03352:7404::1",2,120,,,,
"de:03352:7404::1","de:03352:7404::2",2,120,,,,
"de:03352:7404::2","de:03352:7404::1",2,120,,,,
"de:03352:7404::2","de:03352:7404::2",2,120,,,,
"de:03352:7410::1","de:03352:7410::1",2,120,,,,
"de:03352:7410::1","de:03352:7410::2",2,120,,,,
"de:03352:7410::2","de:03352:7410::1",2,120,,,,
"de:03352:7410::2","de:03352:7410::2",2,120,,,,
"de:03352:12216::1","de:03352:12216::1",2,120,,,,
"de:03352:12216::1","de:03352:12216::2",2,120,,,,
"de:03352:12216::2","de:03352:12216::1",2,120,,,,
"de:03352:12216::2","de:03352:12216::2",2,120,,,,
"de:03352:39462::1","de:03352:39462::1",2,120,,,,
"de:03352:39462::1","de:03352:39462::2",2,120,,,,
"de:03352:39462::2","de:03352:39462::1",2,120,,,,
"de:03352:39462::2","de:03352:39462::2",2,120,,,,
"de:03352:39466::1","de:03352:39466::1",2,120,,,,
"de:03352:39466::1","de:03352:39466::2",2,120,,,,
"de:03352:39466::2","de:03352:39466::1",2,120,,,,
"de:03352:39466::2","de:03352:39466::2",2,120,,,,
"de:03352:39464::1","de:03352:39464::1",2,120,,,,
"de:03352:39464::1","de:03352:39464::2",2,120,,,,
"de:03352:39464::2","de:03352:39464::1",2,120,,,,
"de:03352:39464::2","de:03352:39464::2",2,120,,,,
"de:03357:14525::1","de:03357:14525::1",2,120,,,,
"de:03357:14525::1","000008007800",2,240,,,,
"de:03357:14525::1","000000151482",2,240,,,,
"de:03357:14525::1","000000151481",2,240,,,,
"de:03357:14533::1","de:03357:14533::2",2,120,,,,
"de:03357:14533::1","000000332681",2,240,,,,
"de:03357:14533::1","000000332682",2,240,,,,
"de:03357:14533::2","de:03357:14533::1",2,120,,,,
"de:03357:14533::2","000000332681",2,240,,,,
"de:03357:14533::2","000000332682",2,240,,,,
"de:03357:14553::3","de:03357:14553::3",2,120,,,,
"de:03357:14553::3","000000320001",2,240,,,,
"de:03357:14553::3","000000320002",2,240,,,,
"de:03357:14554::1","de:03357:14554::2",2,120,,,,
"de:03357:14554::1","000000323281",2,240,,,,
"de:03357:14554::1","000000323282",2,240,,,,
"de:03357:14554::2","de:03357:14554::1",2,120,,,,
"de:03357:14554::2","000000323281",2,240,,,,
"de:03357:14554::2","000000323282",2,240,,,,
"de:03357:14551::1","de:03357:14551::2",2,120,,,,
"de:03357:14551::1","000000323271",2,240,,,,
"de:03357:14551::1","000000323272",2,240,,,,
"de:03357:14551::2","de:03357:14551::1",2,120,,,,
"de:03357:14551::2","000000323271",2,240,,,,
"de:03357:14551::2","000000323272",2,240,,,,
"de:03357:23918::1","de:03357:23918::2",2,120,,,,
"de:03357:23918::1","000000323341",2,240,,,,
"de:03357:23918::2","de:03357:23918::1",2,120,,,,
"de:03357:23918::2","000000323341",2,240,,,,
"de:03357:23921::1","de:03357:23921::2",2,120,,,,
"de:03357:23921::1","000000323362",2,240,,,,
"de:03357:23921::1","000000323361",2,240,,,,
"de:03357:23921::2","de:03357:23921::1",2,120,,,,
"de:03357:23921::2","000000323362",2,240,,,,
"de:03357:23921::2","000000323361",2,240,,,,
"de:03357:23920::1","de:03357:23920::2",2,120,,,,
"de:03357:23920::1","000000323352",2,240,,,,
"de:03357:23920::1","000000323351",2,240,,,,
"de:03357:23920::2","de:03357:23920::1",2,120,,,,
"de:03357:23920::2","000000323352",2,240,,,,
"de:03357:23920::2","000000323351",2,240,,,,
